Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Lost_Stock,CivilianCasualty,Log_CivilianCasualty
Mrkonjic Grad,2006,95.22053983,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,17.2547868,0.551195474,-0.59566577
Mrkonjic Grad,2010,91.21205204,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,17.2547868,0.551195474,-0.59566577
Mrkonjic Grad,2014,93.34498962,1.770396058,0.571203283,0.681332383,0.103088829,0.704964126,39.99270073,17609.12575,34.30912575,1177.11611,2.084321957,0.146012046,17.2547868,0.551195474,-0.59566577
Kotor Varos,2006,97.61484099,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,23.70579463,1.088106803,0.084439308
Kotor Varos,2010,97.39958208,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,23.70579463,1.088106803,0.084439308
Kotor Varos,2014,97.33201581,2.756899031,1.014106509,0.345912723,0.295663339,0.341999275,65.80892857,10055.97916,27.81802024,773.8422502,7.614034136,0.244213497,23.70579463,1.088106803,0.084439308
Teslic,2006,86.64902574,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,11.69728141,0.245597621,-1.404060769
Teslic,2010,91.91307638,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,11.69728141,0.245597621,-1.404060769
Teslic,2014,93.22413267,1.171183212,0.15801453,0.456484964,0.190530082,0.462922236,70.74940898,14359.74204,29.48776189,869.5281011,4.283757142,0.116951248,11.69728141,0.245597621,-1.404060769
Zepce,2006,91.66853555,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,6.061581641,0.304798398,-1.188104711
Zepce,2010,77.65254909,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,6.061581641,0.304798398,-1.188104711
Zepce,2014,90.17216643,1.476095097,0.389400153,0.406443354,0.436917923,0.336765698,109.3619048,12668.55351,27.69150048,766.8191988,2.399198816,0.087085256,6.061581641,0.304798398,-1.188104711
Zavidovici,2006,76.26232447,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,10.1207715,0.258904205,-1.351297151
Zavidovici,2010,52.83029982,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,10.1207715,0.258904205,-1.351297151
Zavidovici,2014,69.36329137,1.565670702,0.448314296,0.498034979,0.513783476,0.175595629,96.88813559,18699.98601,28.39782031,806.4361982,2.31789238,0,10.1207715,0.258904205,-1.351297151
Banovici,2006,68.45849163,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,9.134846462,0.109063558,-2.215824466
Banovici,2010,65.25914323,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,9.134846462,0.109063558,-2.215824466
Banovici,2014,85.9564008,1.124482888,0.117323275,0.615616896,0.701116659,0.153571673,146.9060773,39607.74727,28.49652125,812.0517233,1.015419331,0,9.134846462,0.109063558,-2.215824466
Zivince,2006,55.81056649,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,4.500134825,0.0675392,-2.695047109
Zivince,2010,49.91312406,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,4.500134825,0.0675392,-2.695047109
Zivince,2014,65.76952237,0.795867331,-0.228322777,0.748676086,0.742927308,0.068708509,188.257732,16925.65212,27.72581823,768.7209964,1.620940803,0,4.500134825,0.0675392,-2.695047109
Bosansko Grahovo (Grahovo),2006,27.37430168,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,23.45121153,0.745999278,-0.293030647
Bosansko Grahovo (Grahovo),2010,88.9290012,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,23.45121153,0.745999278,-0.293030647
